Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16
0,2.44792e-09,0.0812908,0.10659,0.134566,0.162721,0.0436801,0.119223,0.148038,0.0708345,0.189527,0.181058,0.0924041,0.0495278,0.0385563,0.0925387,0.063671,0.0434147,0.0737432
0,2.51061e-09,0.0857459,0.112573,0.140138,0.169047,0.0487593,0.125085,0.153793,0.0772157,0.194636,0.18846,0.0991708,0.0518385,0.0401877,0.0953963,0.0666924,0.0449198,0.0779324
0,2.57331e-09,0.0898708,0.118664,0.145273,0.174868,0.0534988,0.130504,0.159089,0.0831582,0.199295,0.195278,0.105459,0.0539724,0.0416916,0.0980116,0.0694834,0.0463014,0.0824915
0,2.57342e-09,0.0898778,0.118674,0.145282,0.174878,0.0535069,0.130513,0.159098,0.0831683,0.199303,0.195289,0.10547,0.0539761,0.0416941,0.098016,0.0694882,0.0463038,0.0824992
0,2.57353e-09,0.0898848,0.118684,0.145291,0.174888,0.053515,0.130522,0.159107,0.0831785,0.19931,0.195301,0.105481,0.0539797,0.0416967,0.0980204,0.0694929,0.0463061,0.082507
0,2.57364e-09,0.0898918,0.118695,0.1453,0.174898,0.0535231,0.130532,0.159116,0.0831886,0.199318,0.195312,0.105492,0.0539833,0.0416992,0.0980248,0.0694976,0.0463084,0.0825147
0,2.57375e-09,0.0898988,0.118705,0.145308,0.174908,0.0535312,0.130541,0.159125,0.0831987,0.199326,0.195324,0.105502,0.0539869,0.0417018,0.0980292,0.0695024,0.0463108,0.0825225
0,2.57386e-09,0.0899058,0.118715,0.145317,0.174917,0.0535393,0.13055,0.159134,0.0832089,0.199334,0.195336,0.105513,0.0539905,0.0417043,0.0980337,0.0695071,0.0463131,0.0825303
0,2.57397e-09,0.0899128,0.118726,0.145326,0.174927,0.0535474,0.130559,0.159143,0.083219,0.199342,0.195347,0.105524,0.0539942,0.0417069,0.0980381,0.0695119,0.0463155,0.082538
0,2.57408e-09,0.0899198,0.118736,0.145334,0.174937,0.0535555,0.130569,0.159152,0.0832291,0.19935,0.195359,0.105534,0.0539978,0.0417094,0.0980425,0.0695166,0.0463178,0.0825458
0,2.57419e-09,0.0899268,0.118746,0.145343,0.174947,0.0535636,0.130578,0.159161,0.0832392,0.199358,0.19537,0.105545,0.0540014,0.041712,0.0980469,0.0695213,0.0463201,0.0825535
0,2.5743e-09,0.0899338,0.118757,0.145352,0.174957,0.0535716,0.130587,0.15917,0.0832494,0.199365,0.195382,0.105556,0.054005,0.0417145,0.0980513,0.0695261,0.0463225,0.0825613
0,2.57441e-09,0.0899408,0.118767,0.14536,0.174967,0.0535797,0.130596,0.159179,0.0832595,0.199373,0.195393,0.105566,0.0540086,0.0417171,0.0980557,0.0695308,0.0463248,0.082569
0,2.57453e-09,0.0899478,0.118777,0.145369,0.174977,0.0535878,0.130605,0.159188,0.0832696,0.199381,0.195405,0.105577,0.0540122,0.0417196,0.0980601,0.0695355,0.0463271,0.0825768
0,2.58635e-09,0.0906892,0.119873,0.146289,0.176019,0.0544441,0.131578,0.160136,0.0843418,0.20021,0.196626,0.10671,0.0543951,0.0419891,0.0985266,0.0700364,0.046574,0.0833977
0,2.59818e-09,0.0914196,0.120953,0.147195,0.177044,0.055289,0.132536,0.161069,0.0853993,0.201023,0.197828,0.107827,0.0547721,0.0422544,0.0989849,0.0705296,0.0468168,0.0842068
0,2.61001e-09,0.092139,0.122017,0.148085,0.178052,0.0561226,0.133479,0.161986,0.0864423,0.201822,0.199011,0.108929,0.0551432,0.0425154,0.0994352,0.0710151,0.0470554,0.0850044
0,2.62184e-09,0.0928475,0.123066,0.148962,0.179044,0.0569451,0.134408,0.162889,0.0874709,0.202606,0.200174,0.110014,0.0555085,0.0427722,0.0998776,0.0714931,0.0472901,0.0857903
0,2.63366e-09,0.0935454,0.124099,0.149824,0.18002,0.0577566,0.135323,0.163776,0.0884852,0.203375,0.201319,0.111084,0.0558681,0.0430249,0.100312,0.0719636,0.0475207,0.0865649
0,2.64549e-09,0.0942326,0.125117,0.150673,0.180979,0.0585571,0.136223,0.164649,0.0894853,0.20413,0.202444,0.112139,0.056222,0.0432735,0.100739,0.0724268,0.0477473,0.0873282
0,2.65732e-09,0.0949094,0.126119,0.151507,0.181923,0.0593468,0.137109,0.165508,0.0904715,0.20487,0.203552,0.113178,0.0565703,0.0435181,0.101158,0.0728825,0.0479701,0.0880802
0,2.66915e-09,0.0955757,0.127107,0.152327,0.18285,0.0601257,0.137981,0.166351,0.0914439,0.205597,0.20464,0.114202,0.056913,0.0437586,0.10157,0.0733311,0.0481889,0.0888212
0,2.68098e-09,0.0962317,0.128079,0.153134,0.183762,0.060894,0.138839,0.167181,0.0924025,0.206309,0.205711,0.115212,0.0572502,0.0439952,0.101974,0.0737724,0.0484039,0.0895511
0,2.6928e-09,0.0968775,0.129037,0.153928,0.184658,0.0616517,0.139683,0.167996,0.0933475,0.207007,0.206764,0.116206,0.0575819,0.0442278,0.10237,0.0742066,0.0486151,0.0902702
0,2.70463e-09,0.0975132,0.129981,0.154708,0.185539,0.0623991,0.140514,0.168798,0.094279,0.207692,0.207799,0.117186,0.0579082,0.0444566,0.102759,0.0746338,0.0488225,0.0909786
0,2.71324e-09,0.0979694,0.130658,0.155267,0.18617,0.0629364,0.14111,0.169372,0.0949485,0.208182,0.208541,0.11789,0.0581423,0.0446206,0.103038,0.0749402,0.0489711,0.0914872
