tau_m,tau_s,tau_plus,tau_minus,a_minus,a_plus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitness
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,-0.1444439999999999
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,-0.411111
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
1.5843108504398828e-09,7.410801564027371e-10,4.1765982404692085e-09,9.468722710980776e-09,7.719535483870968e-05,0.000303125,0.5161290322580645,0.1870967741935484,0.4105571847507332,0.24252199413489736,0.4961876832844575,0.2744868035190616,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
3.116568914956012e-09,4.728494623655914e-10,5.623812316715543e-09,1.0004584555229717e-08,8.130787096774192e-05,0.00022570564516129037,0.5011730205278593,0.4914956011730205,0.35425219941348973,0.18621700879765396,0.6644428152492668,0.306158357771261,0
