NL0, NL1,tau_m,tau_s,tau_r,tau_plus,tau_minus,a_plus,a_minus,TH0,TH1,K1,K2,Efficiency,FakeRate,Selectivity, #ID
8.0,6.0,1e-10,9.912668150685261e-09,7.694339810478013e-09,4.826067568228675e-09,9.238726190035567e-09,9.075951567837239e-05,4.67442488381017e-05,0.8569353924839647,0.6396507825932121,5.426232336746227,1.0930474022542256,0,1,0,900103
5.0,11.0,6.904315133349732e-09,9.912668150685261e-09,7.694339810478013e-09,4.826067568228675e-09,9.238726190035567e-09,8.849091889448943e-05,6.568968999368464e-05,0.7394664271821807,0.8583966211651706,5.9355106671675,7.545944531023617,0,1,0,900104
8.0,8.0,3.293899424619191e-09,5.084401291280648e-09,1e-10,4.912354016908826e-09,5.261468137534885e-09,1.5932750520875743e-05,7.291229926772232e-05,0.9054077605100621,0.7236908360703969,1.1846692413492637,6.287884726809908,0,1,0,900105
10.0,8.0,4.175459113904394e-09,4.212540873075094e-09,2.064161888486424e-09,4.6185884045565726e-09,5.261468137534885e-09,1.5932750520875743e-05,7.291229926772232e-05,0.7664805142555281,0.8454676174540958,3.7945743844438122,5.747072564154578,0,1,0,900106
9.0,8.0,1.1586904802313264e-09,5.737566217852285e-09,6.766692486537989e-10,6.097773510453854e-09,9.691076506003098e-10,1.1449128544314636e-05,2.3245128218221768e-05,0.8485884620301809,0.8154564584666476,2.2910543363828104,3.0378102896831374,0,1,0,900107
7.0,11.0,1.6747328984980654e-09,2.693913759154252e-09,9.574819948130077e-10,1.6463142302698246e-09,1e-10,2.3931068580645515e-05,8.480654786447888e-05,0.829543605220159,0.6423244625616175,9.325801023072426,5.510018562768526,0,1,0,900108
6.0,5.0,3.5225685018873405e-09,4.951953467894376e-09,6.200801340640913e-09,4.412651515658827e-09,7.720718887863166e-10,5.324051701723789e-05,3.357826113446944e-05,0.6360975393100335,0.6702557439336703,2.221095903306025,1.5501908665277628,0,1,0,900111
5.0,9.0,4.022958429344709e-09,9.703827198945862e-09,4.0821740448625605e-09,9.807193343853293e-09,1e-10,2.778209720155132e-05,7.480232503508631e-05,0.6335752051513088,0.6474999119731573,5.439789779009198,4.499626449568819,0,1,0,900112
8.0,8.0,8.712847544360122e-09,5.044552898896835e-09,9.048547715162289e-09,4.826067568228675e-09,9.238726190035567e-09,9.075951567837239e-05,4.67442488381017e-05,0.8569353924839647,0.6396507825932121,5.426232336746227,1.0930474022542256,0,1,0,900117
8.0,9.0,4.022958429344709e-09,1e-10,4.0821740448625605e-09,9.807193343853293e-09,1.4398509216837705e-09,1.2698312472082822e-05,4.4392798564380886e-05,0.8871485603745728,0.7584719539713294,7.506763083623112,1.90488921959381,0,1,0,900113
