tau_m,tau_s,tau_plus,tau_minus,a_minus,a_plus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitness
2.6656891495601176e-09,3.7727272727272725e-10,6.196539589442815e-09,4.1628119908765075e-09,6.074529032258064e-05,0.00011592741935483871,0.3366568914956012,0.8882697947214077,0.2152492668621701,0.23196480938416425,0.7119501466275661,0.2500733137829912,0.98
3.1964809384164224e-10,5.274193548387097e-10,6.202697947214076e-09,4.1628119908765075e-09,5.483354838709677e-05,1.8850806451612908e-05,0.16950146627565982,0.9727272727272728,0.6727272727272727,0.45278592375366566,0.7225073313782991,0.29890029325513195,-0.427489
1.1774193548387099e-09,3.7609970674486797e-10,1.4176539589442816e-09,2.335610948191593e-09,3.9925677419354845e-05,0.00020725806451612905,0.387683284457478,0.8909090909090909,0.7351906158357772,0.2337243401759531,0.837316715542522,0.7258064516129032,0
7.888563049853373e-10,5.227272727272727e-10,5.0141348973607035e-09,3.530319322254806e-09,5.2777290322580646e-05,0.000155241935483871,0.2750733137829912,0.9507331378299121,0.24604105571847507,0.969208211143695,0.8914222873900294,0.26590909090909093,-0.162121
3.1598240469208216e-10,6.306451612903226e-10,1.6024046920821114e-09,4.1979504724666015e-09,0.00012037677419354837,0.00011622983870967742,0.17653958944281525,0.9164222873900293,0.5741935483870968,0.28651026392961876,0.7218475073313784,0.34508797653958945,0
5.029325513196482e-10,3.7727272727272725e-10,6.153431085043988e-09,1.7733952427500815e-09,5.6889806451612904e-05,5.241935483870968e-05,0.2961876832844575,0.8909090909090909,0.9604105571847508,0.11055718475073315,0.7535190615835777,0.7238269794721408,-0.217749
7.998533724340176e-10,4.804985337243402e-10,3.388328445747801e-09,4.057396546106224e-09,0.00011986270967741934,0.00025141129032258064,0.9067448680351906,0.9173020527859237,0.6964809384164222,0.6806451612903226,0.7277859237536657,0.32265395894428156,-0.251082
4.956011730205278e-10,3.209677419354838e-10,6.541407624633431e-09,4.1979504724666015e-09,1.987716129032258e-05,0.00011502016129032259,0.18885630498533723,0.7061583577712609,0.5609970674486804,0.5970674486803519,0.7225073313782991,0.26590909090909093,-0.0636364
2.379765395894429e-09,3.7727272727272725e-10,6.153431085043988e-09,4.004688823721082e-09,6.511483870967742e-05,7.17741935483871e-05,0.2961876832844575,0.9472140762463344,0.8478005865102639,0.11055718475073315,0.7587976539589443,0.7291055718475073,0
7.998533724340176e-10,4.804985337243402e-10,3.388328445747801e-09,4.02225806451613e-09,0.0002514632258064516,0.00029012096774193546,0.9067448680351906,0.9173020527859237,0.24604105571847507,0.6771260997067449,0.7225073313782991,0.3200146627565983,0
