Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
1,9.19517e-09,0.0573292,0.0571841,0.0610148,0.0605766,0.0282084,0.0602632,0.0783654,0.0250199,0.0664534,0.0593048,0.0200849,0.0581346
1,9.31881e-09,0.0568461,0.0588493,0.0624314,0.0625992,0.0367289,0.0634758,0.0826715,0.033611,0.0688145,0.0604006,0.0281533,0.0591137
1,9.49584e-09,0.0525396,0.0563594,0.0604359,0.0614975,0.0521002,0.0636731,0.0837246,0.0493883,0.0678146,0.0575187,0.0432989,0.0561472
1,9.67818e-09,0.0477024,0.0509133,0.0554848,0.0568974,0.0542645,0.05847,0.078511,0.0519617,0.0634281,0.051486,0.0460969,0.0504103
1,9.69547e-09,0.0484097,0.0504767,0.0555413,0.0570699,0.0542194,0.0580098,0.0786707,0.0518579,0.06366,0.0509258,0.0460148,0.0498464
1,9.73634e-09,0.0503437,0.0497708,0.0567992,0.0585627,0.0542497,0.0583061,0.0805158,0.0517188,0.0655389,0.0498489,0.0458395,0.0486849
1,9.92886e-09,0.0534867,0.0533268,0.0609506,0.06196,0.0524145,0.064327,0.0850861,0.0495465,0.0693409,0.0546058,0.0434367,0.0531737
1,1.00651e-08,0.0548622,0.0543241,0.0621147,0.0637681,0.0493983,0.0657344,0.0880987,0.0462524,0.0716269,0.054088,0.0402136,0.0525147
1,1.03719e-08,0.0477951,0.0477051,0.0556108,0.058135,0.0552884,0.0602212,0.0823383,0.0525745,0.0655784,0.0464929,0.0466434,0.0449231
1,1.07487e-08,0.0369921,0.0356368,0.0425737,0.0447972,0.0439358,0.045139,0.0638329,0.0419611,0.0513543,0.0340544,0.0373969,0.0331345
1,1.09249e-08,0.0332729,0.0306799,0.037777,0.0401054,0.0379869,0.0385518,0.0564902,0.0362157,0.0461231,0.0289382,0.0322763,0.0281431
1,1.13788e-08,0.028659,0.0252666,0.0313328,0.0346295,0.0261911,0.0307341,0.049004,0.024421,0.0401073,0.0209848,0.0214581,0.0202255
1,1.19091e-08,0.0202185,0.016319,0.0215033,0.0242456,0.0159703,0.0192789,0.0333913,0.0146923,0.0281168,0.0129115,0.0128278,0.0123552
1,1.20336e-08,0.0225707,0.0156976,0.0233114,0.0260468,0.014595,0.0178779,0.0340423,0.0133197,0.0300432,0.0119286,0.0114924,0.0114921
1,1.20792e-08,0.0243567,0.0166539,0.0249373,0.0280287,0.0143991,0.0187559,0.0365869,0.0129966,0.0323393,0.0120895,0.0111055,0.0116267
1,1.21729e-08,0.0273009,0.0179026,0.0273711,0.030958,0.0138863,0.0197147,0.0401407,0.0122951,0.0358636,0.0122695,0.0103162,0.0117485
1,1.24272e-08,0.0328888,0.0218794,0.0322967,0.0373863,0.0128641,0.023619,0.0494835,0.0107374,0.043579,0.0130774,0.00854379,0.01234
1,1.27496e-08,0.0340812,0.0238346,0.0332813,0.0393188,0.011337,0.0257216,0.0535076,0.00890875,0.0459787,0.0129409,0.00670448,0.0120515
1,1.2894e-08,0.0352944,0.0254531,0.0344702,0.0411112,0.0110124,0.0275438,0.0567664,0.0083793,0.0481253,0.0133004,0.00611061,0.0123117
1,1.29838e-08,0.0346656,0.0256216,0.0347549,0.0416949,0.0182144,0.0289522,0.0586478,0.0156771,0.0488046,0.0135043,0.0130374,0.0124504
1,1.30691e-08,0.0335889,0.0255372,0.0350908,0.042343,0.0295568,0.0307301,0.0609271,0.0272157,0.0495385,0.0137989,0.024005,0.0126708
1,1.34641e-08,0.0371373,0.0219358,0.0347884,0.0420424,0.0418428,0.0289354,0.0607792,0.0393592,0.0487361,0.0122452,0.0357046,0.0109803
1,1.35322e-08,0.0401298,0.0214471,0.0356111,0.0429166,0.0412593,0.0282804,0.0614068,0.0385417,0.0495974,0.0119697,0.034927,0.010658
