Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16,V(t)_17,V(t)_18,V(t)_19
2,3.23947e-08,0.153933,0.218123,0.175826,0.0496182,0.133572,0.185958,0.18327,0.0624952,0.0813581,0.106786,0.0967242,0.132864,0.0912882,0.101537,0.0487121,0.108243,0.063314,0.0640427,0.11003,0.0843096
2,3.24325e-08,0.148092,0.211017,0.174834,0.0464069,0.128831,0.188681,0.200446,0.0648452,0.0794827,0.101374,0.102267,0.13106,0.088457,0.0994138,0.046541,0.102194,0.060965,0.0643877,0.108171,0.0868532
2,3.24704e-08,0.141272,0.202133,0.170827,0.0552621,0.123131,0.186956,0.208396,0.080643,0.0767719,0.0958268,0.104118,0.127329,0.0848341,0.102304,0.047883,0.0981398,0.0581239,0.065196,0.112207,0.0869921
2,3.25082e-08,0.135317,0.1922,0.16483,0.0731226,0.116883,0.182215,0.209876,0.0899294,0.0990447,0.0902035,0.103404,0.126165,0.0807377,0.104662,0.0567881,0.108404,0.0551245,0.0857531,0.12269,0.0854315
2,3.2546e-08,0.14088,0.207889,0.176593,0.118144,0.110378,0.182688,0.214888,0.0945788,0.113529,0.0846347,0.100947,0.127274,0.076395,0.104285,0.0618071,0.114789,0.0520207,0.0987765,0.127536,0.0827364
2,3.25839e-08,0.142116,0.216453,0.187707,0.146734,0.120391,0.186584,0.234051,0.105891,0.12129,0.097977,0.0976686,0.125611,0.0719663,0.102042,0.0640687,0.119182,0.0489045,0.120509,0.130846,0.0793156
2,3.26217e-08,0.149965,0.218067,0.20822,0.170032,0.161737,0.1857,0.253466,0.118932,0.146991,0.113458,0.104047,0.122081,0.0710808,0.103016,0.0643984,0.119992,0.0582816,0.137196,0.136201,0.077511
2,3.26595e-08,0.173952,0.21512,0.218308,0.183609,0.198731,0.181561,0.26513,0.139553,0.163584,0.132436,0.116919,0.117339,0.0796994,0.109315,0.0737048,0.118263,0.0671225,0.146015,0.137277,0.0782707
2,3.26974e-08,0.187072,0.209006,0.221764,0.189379,0.220288,0.217222,0.268168,0.160813,0.171837,0.151107,0.133888,0.111858,0.0855542,0.116392,0.0788175,0.122232,0.0719009,0.149277,0.135401,0.0773014
2,3.27352e-08,0.192498,0.200841,0.225295,0.189753,0.230862,0.272891,0.265144,0.172316,0.174219,0.16102,0.155531,0.105974,0.0879363,0.119024,0.0808195,0.133608,0.0779353,0.14867,0.131539,0.0751661
2,3.2773e-08,0.199159,0.191425,0.223425,0.186397,0.241314,0.306012,0.258026,0.176915,0.172535,0.175296,0.171453,0.105159,0.0878943,0.118561,0.0806526,0.1391,0.0820362,0.145424,0.12639,0.0737839
2,3.28109e-08,0.224479,0.180663,0.226935,0.180308,0.264846,0.322744,0.252086,0.18822,0.168051,0.189328,0.178922,0.102545,0.0940103,0.117973,0.0881358,0.140095,0.0897744,0.144121,0.132619,0.0761655
2,3.2892e-08,0.241933,0.171263,0.244847,0.163251,0.278497,0.344706,0.248642,0.21216,0.164199,0.196285,0.2076,0.0941173,0.0989594,0.129019,0.111732,0.133508,0.0991065,0.141515,0.149519,0.0822545
2,3.29731e-08,0.254513,0.204887,0.241636,0.207623,0.302709,0.388991,0.233229,0.207683,0.162547,0.2162,0.224186,0.119178,0.0955567,0.131377,0.132473,0.12107,0.104772,0.135061,0.18027,0.0944127
2,3.30543e-08,0.256574,0.210134,0.26334,0.226104,0.387942,0.380847,0.21332,0.22038,0.196424,0.258562,0.261573,0.125511,0.108995,0.123047,0.132213,0.106887,0.12775,0.178193,0.19809,0.101799
2,3.31354e-08,0.244022,0.243188,0.287355,0.247135,0.424071,0.349993,0.22713,0.262874,0.216817,0.258891,0.263603,0.124973,0.111613,0.14062,0.139763,0.0946446,0.138651,0.209741,0.235587,0.10137
