tau_m,tau_s,tau_r,tau_plus,tau_minus,a_plus,a_minus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitnessEff,fitnessFake,fitnessSel
3.3450143646439774e-09,3.1302896411825428e-09,3.0608067158665398e-09,9.17700876145459e-09,7.47639377335613e-09,7.328757997085814e-06,8.576415152398673e-05,0.505595128241498,0.5410619937758643,0.583200942699407,0.4214225295938646,0.8038310053804487,0.8306922344782257,0.0,0.0,0.0
3.0996445103532296e-09,5.788757486876498e-09,8.964275519402603e-09,7.514581846329599e-09,4.501252810270707e-09,2.7668953315623674e-05,2.7177299022567325e-05,0.7008066717081035,0.8957811504013133,0.7110796518239624,0.7123759794747505,0.6802063550445377,0.9343310036740425,0.0,0.0,0.0
2.959750616908752e-09,8.624255265357835e-09,7.699398192250854e-09,1.2511691250924898e-09,1.907104169336863e-09,7.409670277931212e-05,5.717830662572193e-05,0.8592100348472244,0.7021508468829525,0.6928487265672758,0.6190719180524669,0.8092145428374217,0.7126633161436038,0.0,0.0,0.0
9.988365130415925e-09,2.1483939334203056e-09,3.2479237440173695e-09,2.6416719675236077e-09,5.2071177765944095e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8612860525679867,0.7165974330672222,0.8464655173294761,0.632373177963066,0.8077341941977626,0.989459,0.9966,0.516209
5.806677264280323e-09,9.82079565556588e-09,4.96334129424967e-09,6.127921793963262e-09,8.382973339357906e-09,1.0700593806607698e-05,1.6232825165092742e-05,0.5542890796574484,0.5636497548178744,0.508091598467409,0.5295389597789835,0.8129280489918388,0.8079627832539829,0.0,0.0,0.0
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.6645316204503849,0.6405857378586433,0.6218664000517665,0.9644306967387448,0.7475163280658825,0.9002248044769313,0.953506,0.9962,0.527731
6.215739491772391e-09,4.671046185881846e-09,9.657598468288674e-09,7.00914447992466e-09,4.86116971361489e-09,1.4883562740069122e-05,5.12842396501645e-06,0.8790109654637586,0.6610952390941587,0.8457808172221627,0.29845484119381493,0.8479881455550455,0.9112458666021866,0.60318,0.113,0.421684
6.036655746676706e-09,6.749759765165011e-09,3.79298929345027e-09,3.7582599893020895e-09,3.877019186736517e-09,7.381790088547344e-05,1.3497518357389667e-05,0.6171581663481198,0.7250189268936365,0.7415404869132377,0.9424664081159543,0.7822442983759913,0.7509541729661156,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,3.9495361776097255e-09,5.118637895821046e-09,3.429082369390264e-05,5.494126042043332e-05,0.8152910804229487,0.6404503218954342,0.8396405431590938,0.10146384350151683,0.8301718335777343,0.8352382427968593,0.0,0.0,0.0
6.623155662967444e-09,6.234808863689397e-09,1.6360925782043536e-10,9.07410223916941e-09,5.336486579046167e-09,1.7606657676341366e-05,6.904696656617028e-05,0.8167792525779187,0.5782487003340517,0.5804650380481988,0.665228789696197,0.7059378994986734,0.8879560464124586,0.0,0.0,0.0
7.532520824881217e-09,8.052238146263495e-09,8.592983556897444e-09,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.13381513553296148,0.8253556331781342,0.7807690555139849,0.0,0.0,0.0
8.391745014876525e-09,6.690725780571042e-10,8.968139593110797e-10,1.2631837568811841e-09,3.6983373985780148e-09,3.7346827513391454e-05,6.321220413486506e-05,0.6993498253929138,0.7894838128234123,0.5051973166690509,0.24426726810840046,0.619703794087503,0.679483370835616,0.803239,0.9018,0.486844
8.133284512321838e-09,8.074628871557775e-09,1.5105906406721223e-09,3.878129305401261e-09,3.721446671026822e-09,4.291267014511068e-05,5.4180988181471675e-05,0.5122867617497544,0.8801890731473297,0.8404885935578446,0.6649471798343392,0.8320140769243971,0.8418808545436289,0.0,0.0,0.0
5.087896705434206e-09,2.6809024932224236e-10,4.678105020605825e-09,1.0140079393857713e-09,3.6179087741856647e-09,7.224382569038215e-05,6.8651987481852e-05,0.827277303313926,0.8779192910807512,0.7578565075568249,0.3929873160605474,0.7169539259352389,0.9192324969955257,0.983268,0.9966,0.500095
9.603456885064475e-09,2.7754017694087917e-09,5.1350989686091785e-09,5.2216898293543e-09,9.09679041958969e-09,1.0597103353072539e-05,7.875056854770276e-05,0.791076538380858,0.6813294661227027,0.8509922028588532,0.9195565624714203,0.7677681951819989,0.8353508509166442,0.00835864,0.0004,0.0155373
8.398367977913755e-09,2.5203382630970597e-10,2.412853744094072e-09,3.771639549072642e-09,6.598643987589835e-09,6.697277310372604e-05,8.009557833044366e-05,0.5850891999067172,0.8954269839750768,0.6235143633975345,0.5136276843826895,0.6491243225877483,0.6000559450824597,0.976118,0.9966,0.518419
8.321390225768399e-09,5.710731356692311e-09,9.124353761964822e-10,3.3498538028602635e-09,4.482481224916194e-09,5.3980865680200993e-05,8.542081431292173e-05,0.8583108317672661,0.8915649502412736,0.6480748052001702,0.6217642240707651,0.682838004004168,0.8874006569421936,0.504166,0.5084,0.300362
