Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
12,2.76151e-07,0.113989,0.188986,0.072131,0.00353826,0.026239,0.0928848,0.227531,0.0337292,0.0874464,0.0979273,0.0152781,0.065915
12,2.76155e-07,0.115344,0.190746,0.072727,0.00351046,0.0263682,0.0930499,0.229642,0.0339439,0.088054,0.0991241,0.0151581,0.0667498
12,2.76159e-07,0.116626,0.192402,0.073286,0.00348268,0.0264868,0.0931866,0.231628,0.0341434,0.0886203,0.100258,0.0150383,0.0675415
12,2.76163e-07,0.117821,0.193935,0.0738015,0.00345532,0.0265935,0.0932942,0.233467,0.0343253,0.089139,0.101316,0.0149202,0.0682803
12,2.76167e-07,0.118941,0.195361,0.0742789,0.00342817,0.0266895,0.0933748,0.235177,0.0344918,0.0896157,0.102307,0.014803,0.0689738
12,2.76171e-07,0.119989,0.196685,0.0747196,0.00340123,0.0267752,0.0934293,0.236764,0.0346434,0.0900521,0.103236,0.0146868,0.0696235
12,2.76175e-07,0.120973,0.197917,0.0751277,0.00337431,0.0268516,0.0934591,0.238241,0.0347816,0.0904522,0.104109,0.0145706,0.0702353
12,2.76179e-07,0.121883,0.199044,0.0754987,0.00334779,0.0269179,0.0934645,0.239592,0.0349049,0.0908118,0.104916,0.0144562,0.0708018
12,2.76212e-07,0.131307,0.205002,0.0842171,0.00312299,0.0533732,0.100742,0.246808,0.0520986,0.0925028,0.115879,0.0135446,0.0740202
12,2.76244e-07,0.136286,0.206412,0.0894521,0.00292575,0.0717308,0.104534,0.248471,0.0637856,0.0923894,0.122163,0.0126895,0.0753312
12,2.76277e-07,0.137896,0.204431,0.0919271,0.00274109,0.0839228,0.105749,0.246063,0.0712843,0.0909662,0.12492,0.0118888,0.0751826
12,2.7631e-07,0.137055,0.20003,0.0923786,0.00256791,0.0915075,0.10509,0.240748,0.0756635,0.0886167,0.125095,0.0111379,0.0739828
12,2.76342e-07,0.134459,0.193954,0.0913629,0.00240579,0.0956465,0.103089,0.233421,0.0777218,0.0856364,0.123405,0.0104349,0.0720438
12,2.76375e-07,0.130631,0.186747,0.0893018,0.00225375,0.0972456,0.100147,0.224739,0.0780788,0.0822399,0.120392,0.00977557,0.0695967
12,2.76408e-07,0.125974,0.178841,0.0865194,0.00211144,0.0969865,0.0965712,0.215217,0.0772026,0.0785974,0.116472,0.00915836,0.0668222
12,2.7644e-07,0.120781,0.170533,0.083253,0.00197798,0.09539,0.092586,0.205213,0.075448,0.0748249,0.111948,0.00857958,0.0638476
12,2.76473e-07,0.115284,0.162068,0.0796896,0.00185306,0.0928542,0.088369,0.195023,0.0730877,0.0710191,0.107062,0.00803779,0.0607764
12,2.76505e-07,0.109616,0.1536,0.0759209,0.00173593,0.0895334,0.0839967,0.18483,0.0702321,0.0672389,0.101944,0.00752975,0.0576754
12,2.76538e-07,0.103957,0.145266,0.0721308,0.00162629,0.0859476,0.0796584,0.174799,0.0672225,0.0635376,0.0968005,0.0070542,0.0546027
12,2.76571e-07,0.0983881,0.140031,0.0683653,0.026096,0.0821298,0.0796521,0.184965,0.0666356,0.05996,0.0968001,0.00661054,0.0516058
12,2.76603e-07,0.0929476,0.134232,0.06466,0.0434029,0.0781886,0.0785007,0.189649,0.0652522,0.0565114,0.0954062,0.00619476,0.0486972
12,2.76636e-07,0.087678,0.128109,0.0610516,0.0552844,0.0742148,0.0765386,0.190303,0.063313,0.0532059,0.0930253,0.00580513,0.0458943
12,2.76668e-07,0.0826077,0.12184,0.0575651,0.0630744,0.0702748,0.0740188,0.188036,0.0610002,0.0500511,0.0899656,0.00543999,0.0432081
12,2.76701e-07,0.0777545,0.115555,0.0542169,0.0677956,0.0664159,0.0711322,0.18369,0.0584507,0.0470509,0.0864593,0.00509781,0.040645
12,2.76733e-07,0.073132,0.109356,0.0510195,0.0702299,0.0626744,0.068025,0.177911,0.0557693,0.0442078,0.0826842,0.00477743,0.0382097
12,2.76765e-07,0.0686862,0.103298,0.0478442,0.0709661,0.0590269,0.0647984,0.171158,0.053027,0.0415022,0.0786945,0.00447692,0.0358981
12,2.76798e-07,0.0645229,0.0974326,0.0449597,0.0704872,0.0555715,0.0615339,0.163823,0.0502819,0.0389594,0.0747317,0.0041953,0.033711
12,2.7683e-07,0.0605854,0.0917916,0.042228,0.0691263,0.0522744,0.058289,0.156165,0.0475744,0.0365611,0.0707921,0.0039314,0.0316451
12,2.76863e-07,0.0568679,0.0863938,0.0396461,0.0671477,0.0491392,0.0551049,0.148382,0.0449329,0.0343016,0.0669261,0.0036841,0.0296967
12,2.76895e-07,0.0533627,0.0812494,0.0372095,0.0647512,0.0461662,0.0520107,0.140622,0.0423772,0.032175,0.0631689,0.00345236,0.0278611
12,2.76937e-07,0.0491286,0.0749743,0.0342638,0.0612704,0.0674246,0.0588012,0.144897,0.0400213,0.0387431,0.0646496,0.02201,0.0451851
12,2.76979e-07,0.0452189,0.0691301,0.0315418,0.0575758,0.0798287,0.0619062,0.144369,0.037554,0.0421634,0.0641343,0.033686,0.055518
12,2.77021e-07,0.0416078,0.063697,0.0290264,0.0538217,0.0861448,0.0625221,0.140699,0.0350675,0.0434411,0.0623191,0.0405858,0.0610323
12,2.77063e-07,0.03828,0.0586649,0.0267073,0.050119,0.0883092,0.061488,0.135053,0.0326285,0.0432805,0.0596938,0.0441815,0.0632481
12,2.77106e-07,0.0352112,0.0540065,0.024568,0.0465313,0.087699,0.0593927,0.128232,0.0302741,0.0421785,0.0565938,0.045528,0.0632486
12,2.77148e-07,0.0323866,0.049706,0.0225985,0.0431056,0.0852808,0.0566508,0.120805,0.028032,0.0404848,0.0532568,0.0453645,0.0617939
12,2.7719e-07,0.0297843,0.0457348,0.0207835,0.0398613,0.081728,0.0535443,0.113141,0.0259129,0.0384394,0.0498371,0.0442127,0.059415
